Date,Open,High,Low,Close,Volume,Adj Close
08-02-2013,474,478.81,468.25,474.98,22597100,474.98
07-02-2013,463.25,470,454.12,468.22,25163600,468.22
06-02-2013,456.47,466.5,452.58,457.35,21203800,454.7
05-02-2013,444.05,459.74,442.22,457.84,20476700,455.19
04-02-2013,453.91,455.94,442,442.32,17039900,439.76
01-02-2013,459.11,459.48,448.35,453.62,19267300,450.99
31-01-2013,456.98,459.28,454.98,455.49,11404800,452.85
30-01-2013,457,462.6,454.5,456.83,14898400,454.18
29-01-2013,458.5,460.2,452.12,458.27,20398500,455.61
28-01-2013,437.83,453.21,435.86,449.83,28054200,447.22
25-01-2013,451.69,456.23,435,439.88,43143800,437.33
24-01-2013,460,465.73,450.25,450.5,52173300,447.89
23-01-2013,508.81,514.99,504.77,514.01,30768200,511.03
22-01-2013,504.56,507.88,496.63,504.77,16483800,501.85
18-01-2013,498.52,502.22,496.4,500,16890100,497.1
17-01-2013,510.31,510.75,502.03,502.68,16202800,499.77
16-01-2013,494.64,509.44,492.5,506.09,24671600,503.16
15-01-2013,498.3,498.99,483.38,485.92,31313300,483.1
14-01-2013,502.68,507.5,498.51,501.75,26221700,498.84
11-01-2013,521,525.32,519.02,520.3,12518100,517.29
10-01-2013,528.55,528.72,515.52,523.51,21469500,520.48
09-01-2013,522.5,525.01,515.99,517.1,14557300,514.1
08-01-2013,529.21,531.89,521.25,525.31,16382400,522.27
07-01-2013,522,529.3,515.2,523.9,17291300,520.86
04-01-2013,536.97,538.63,525.83,527,21226200,523.95
03-01-2013,547.88,549.67,541,542.1,12605900,538.96
02-01-2013,553.82,555,541.63,549.03,20018500,545.85
31-12-2012,510.53,535.4,509,532.17,23553300,529.09
28-12-2012,510.29,514.48,508.12,509.59,12652800,506.64
27-12-2012,513.54,516.25,504.66,515.06,16254300,512.08
26-12-2012,519,519.46,511.12,513,10801300,510.03
24-12-2012,520.35,524.25,518.71,520.17,6276900,517.16
21-12-2012,512.47,519.67,510.24,519.33,21295300,516.32
20-12-2012,530,530.2,518.88,521.73,17203200,518.71
19-12-2012,531.47,533.7,525.5,526.31,16048900,523.26
18-12-2012,525,534.9,520.25,533.9,22345900,530.81
17-12-2012,508.93,520,501.23,518.83,27057400,515.82
14-12-2012,514.75,518.13,505.58,509.79,36056400,506.84
13-12-2012,531.15,537.64,525.8,529.69,22330700,526.62
12-12-2012,547.77,548,536.27,539,17398000,535.88
11-12-2012,539.77,549.56,537.37,541.39,21155200,538.25
10-12-2012,525,538.51,521.58,529.82,22517300,526.75
07-12-2012,553.4,555.2,530,533.25,28108600,530.16
06-12-2012,528.94,553.31,518.63,547.24,42043300,544.07
05-12-2012,568.91,569.25,538.77,538.79,37308500,535.67
04-12-2012,581.8,581.8,572.13,575.85,19895300,572.51
03-12-2012,593.65,594.59,585.5,586.19,13010000,582.79
30-11-2012,586.79,588.4,582.68,585.28,13975700,581.89
29-11-2012,590.22,594.25,585.25,589.36,18382100,585.95
28-11-2012,577.27,585.8,572.26,582.94,18602300,579.56
27-11-2012,589.55,590.42,580.1,584.78,19047500,581.39
26-11-2012,575.9,590,573.71,589.53,22520700,586.11
23-11-2012,567.17,572,562.6,571.5,9743800,568.19
21-11-2012,564.25,567.37,556.6,561.7,13321500,558.45
20-11-2012,571.91,571.95,554.58,560.91,22955500,557.66
19-11-2012,540.71,567.5,539.88,565.73,29404200,562.45
16-11-2012,525.2,530,505.75,527.68,45246200,524.62
15-11-2012,537.53,539.5,522.62,525.62,28211100,522.57
14-11-2012,545.5,547.45,536.18,536.88,17041800,533.77
13-11-2012,538.91,550.48,536.36,542.9,19033900,539.75
12-11-2012,554.15,554.5,538.65,542.83,18421500,539.68
09-11-2012,540.42,554.88,533.72,547.06,33211200,543.89
08-11-2012,560.63,562.23,535.29,537.75,37719500,534.63
07-11-2012,573.84,574.54,555.75,558,28344600,554.77
06-11-2012,590.23,590.74,580.09,582.85,13389900,576.84
05-11-2012,583.52,587.77,577.6,584.62,18897700,578.59
02-11-2012,595.89,596.95,574.75,576.8,21406200,570.85
01-11-2012,598.22,603,594.17,596.54,12903500,590.39
31-10-2012,594.88,601.96,587.7,595.32,18214400,589.18
26-10-2012,609.43,614,591,604,36372600,597.77
25-10-2012,620,622,605.55,609.54,23440200,603.25
24-10-2012,621.44,626.55,610.64,616.83,19947400,610.47
23-10-2012,631,633.9,611.7,613.36,25255200,607.03
22-10-2012,612.42,635.38,610.76,634.03,19526100,627.49
19-10-2012,631.05,631.77,609.62,609.84,26574500,603.55
18-10-2012,639.59,642.06,630,632.64,17022300,626.11
17-10-2012,648.87,652.79,644,644.61,13894200,637.96
16-10-2012,635.37,650.3,631,649.79,19634700,643.09
15-10-2012,632.35,635.13,623.85,634.76,15446500,628.21
12-10-2012,629.56,635.38,625.3,629.71,16429100,623.21
11-10-2012,646.5,647.2,628.1,628.1,19502900,621.62
10-10-2012,639.74,644.98,637,640.91,18227000,634.3
09-10-2012,638.65,640.49,623.55,635.85,29949900,629.29
08-10-2012,646.88,647.56,636.11,638.17,22785500,631.59
05-10-2012,665.2,666,651.28,652.59,21214500,645.86
04-10-2012,671.25,674.25,665.55,666.8,13240200,659.92
03-10-2012,664.86,671.86,662.63,671.45,15152900,664.52
02-10-2012,661.81,666.35,650.65,661.31,22428300,654.49
01-10-2012,671.16,676.75,656.5,659.39,19414100,652.59
28-09-2012,678.75,681.11,666.75,667.1,19111100,660.22
27-09-2012,664.29,682.17,660.35,681.32,21217500,674.29
26-09-2012,668.74,672.69,661.2,665.18,20589400,658.32
25-09-2012,688.26,692.78,673,673.54,18528200,666.59
24-09-2012,686.86,695.12,683,690.79,22848800,683.66
21-09-2012,702.41,705.07,699.36,700.09,20413900,692.87
20-09-2012,699.16,700.06,693.62,698.7,12020300,691.49
19-09-2012,700.26,703.99,699.57,702.1,11674100,694.86
18-09-2012,699.88,702.33,696.42,701.91,13339400,694.67
17-09-2012,699.35,699.8,694.61,699.78,14215400,692.56
14-09-2012,689.96,696.98,687.89,691.28,21445500,684.15
13-09-2012,677.37,685.5,674.77,682.98,21370000,675.94
12-09-2012,666.85,669.9,656,669.79,25436900,662.88
11-09-2012,665.11,670.1,656.5,660.59,17999400,653.78
10-09-2012,680.45,683.29,662.1,662.74,17428500,655.9
07-09-2012,678.05,682.48,675.77,680.44,11773800,673.42
06-09-2012,673.17,678.29,670.8,676.27,13971300,669.29
05-09-2012,675.57,676.35,669.6,670.23,12013400,663.32
04-09-2012,665.76,675.14,664.5,674.97,13139000,668.01
31-08-2012,667.25,668.6,657.25,665.24,12082900,658.38
30-08-2012,670.64,671.55,662.85,663.87,10810700,657.02
29-08-2012,675.25,677.67,672.6,673.47,7243100,666.52
28-08-2012,674.98,676.1,670.67,674.8,9550600,667.84
27-08-2012,679.99,680.87,673.54,675.68,15250300,668.71
24-08-2012,659.51,669.48,655.55,663.22,15619300,656.38
23-08-2012,666.11,669.9,661.15,662.63,15004600,655.8
22-08-2012,654.42,669,648.11,668.87,20190100,661.97
21-08-2012,670.82,674.88,650.33,656.06,29025700,649.29
20-08-2012,650.01,665.15,649.9,665.15,21906600,658.29
17-08-2012,640,648.19,638.81,648.11,15812900,641.43
16-08-2012,631.21,636.76,630.5,636.34,9090500,629.78
15-08-2012,631.3,634,627.75,630.83,9190800,624.32
14-08-2012,631.87,638.61,630.21,631.69,12148900,625.17
13-08-2012,623.39,630,623.25,630,9958300,623.5
10-08-2012,618.71,621.76,618.7,621.7,6962100,615.29
09-08-2012,617.85,621.73,617.8,620.73,7915800,614.33
08-08-2012,619.39,623.88,617.1,619.86,8739500,610.84
07-08-2012,622.77,625,618.04,620.91,10373100,611.88
06-08-2012,617.29,624.87,615.26,622.55,10789400,613.49
03-08-2012,613.63,617.98,611.56,615.7,12318600,606.74
02-08-2012,602.84,610.69,600.25,607.79,11862800,598.95
01-08-2012,615.91,616.4,603,606.81,13732200,597.98
31-07-2012,603.23,611.7,602.72,610.76,16511700,601.88
30-07-2012,590.92,599.44,587.82,595.03,13540800,586.37
27-07-2012,575.01,585.83,571.59,585.16,14426300,576.65
26-07-2012,579.76,580.4,570.36,574.88,14522600,566.52
25-07-2012,574.46,580.8,570,574.97,31332600,566.61
24-07-2012,607.38,609.68,598.51,600.92,20183300,592.18
23-07-2012,594.4,605.9,587.71,603.83,17427700,595.05
20-07-2012,613.03,614.44,603.7,604.3,14195400,595.51
19-07-2012,611.28,615.35,606,614.32,15602200,605.38
18-07-2012,606.59,608.34,603.56,606.26,9025000,597.44
